Kanji,Furigana,Sound,Image,Meaning,Example Sentence,Example Sentence Mean Vietnamese,Example Sentence Mean English,Example Sentence Sound,Hanviet
懲戒,ちょうかい,[sound:懲戒.ogg],"<img src=""懲戒.jpg"">","khiển trách, quở trách",,,,,TRỪNG GIỚI
役員,やくいん,[sound:役員.ogg],"<img src=""役員.jpg"">",người lãnh đạo,彼は役員の地位をねらっている。,Anh ấy đang nhắm đến vị trí nhân viên quản lý.,He is aiming for the directorship.,[sound:彼は役員の地位をねらっている.ogg], VIÊN
進級,しんきゅう,[sound:進級.ogg],"<img src=""進級.jpg"">",tiến cấp,,,,,"TIẾN,TẤN CẤP"
圧迫,あっぱく,[sound:圧迫.ogg],"<img src=""圧迫.jpg"">","sức ép, ép, áp lực, áp đảo",その政府は国民を圧迫した。,Chính phủ đó đã áp bức người dân.,The government oppressed the people.,[sound:その政府は国民を圧迫した.ogg],ÁP BÁCH
ぬいぐるみ,ぬいぐるみ,[sound:ぬいぐるみ.ogg],"<img src=""ぬいぐるみ.jpg"">",thú nhồi bông,その小さな女の子は泣いてクマのぬいぐるみを欲しがった。,Đứa bé nhỏ đó đã khóc và muốn có một con gấu bông.,The little girl was crying for the teddy bear.,[sound:その小さな女の子は泣いてクマのぬいぐるみを欲しがった.ogg],
相対,あいたい,[sound:相対.ogg],"<img src=""相対.jpg"">",tương đối,このため、会談の席の配置では米国と相対して座る場所を求めた。,"Vì vậy, trong việc sắp xếp chỗ ngồi tại cuộc họp, anh ấy đã yêu cầu ngồi đối diện với Hoa Kỳ.",So they sought a place such that the conference seating would have them facing the Americans.,[sound:このため、会談の席の配置では米国と相対して座る場所を求めた.ogg],"TƯƠNG,TƯỚNG ĐỐI"
失墜,しっつい,[sound:失墜.ogg],,"thất thế, mất uy thế",どんな理由があろうと、せっかく軌道に乗せた貿易を失墜させたのは大失態だ。,"Dù có lý do gì đi chăng nữa, việc làm sụp đổ thương mại mà chúng ta đã xây dựng một cách cẩn thận là một sự mất mát lớn.","Whatever the reason, forfeiting the trade that we finally got on track is a fiasco.",[sound:どんな理由があろうと、せっかく軌道に乗せた貿易を失墜させたのは大失態だ.ogg],THẤT TRỤY
紙くず,かみくず,[sound:紙くず.ogg],"<img src=""紙くず.jpg"">","giấy nháp, giấy bỏ",その部屋は紙くずだらけだった。,Căn phòng đó đầy rác thải giấy.,The room was littered with scraps of paper.,[sound:その部屋は紙くずだらけだった.ogg],CHỈ
打ち明ける,うちあける,[sound:打ち明ける.ogg],"<img src=""打ち明ける.jpg"">","bộc bạch, tâm sự, thổ lộ",私は彼に心配事を打ち明けた。,Tôi đã chia sẻ những lo lắng của mình với anh ấy.,I confided my troubles to him.,[sound:私は彼に心配事を打ち明けた.ogg],ĐẢ 
繊細,せんさい,[sound:繊細.ogg],"<img src=""繊細.jpg"">","mỏng manh, mảnh khảnh, chi tiết",非常に繊細な問題だ。,Đó là một vấn đề rất nhạy cảm.,It's a very delicate question.,[sound:非常に繊細な問題だ.ogg],TIỆM 
合併,がっぺい,[sound:合併.ogg],"<img src=""合併.jpg"">","liên doanh, liên kết",２社は合併を計画している。,Hai công ty đang lên kế hoạch sáp nhập.,The two companies plan to unite.,[sound:２社は合併を計画している.ogg],"HỢP,CÁP TÍNH"
灰汁,あく,[sound:灰汁.ogg],"<img src=""灰汁.jpg"">","bọt (khi nấu ăn hay có bọt của thịt, cá nổi lên trên)",４．煮え立たせる寸前で弱火にして、もう一度灰汁を取り除きます。,4. Hạ lửa xuống nhỏ và loại bỏ tro lửa khi nước sôi sùng sục.,"4. Just before bringing it to the boil, set to a low flame and remove the scum again.",[sound:４．煮え立たせる寸前で弱火にして、もう一度灰汁を取り除きます.ogg],HÔI CHẤP
永眠,えいみん,[sound:永眠.ogg],,"vĩnh miên, chết",彼女は就寝中安らかに永眠した。,Cô ấy đã mãi mãi an nghỉ trong giấc ngủ.,She passed away peacefully in her sleep.,[sound:彼女は就寝中安らかに永眠した.ogg],VĨNH MIÊN
寝転ぶ,ねころぶ,[sound:寝転ぶ.ogg],"<img src=""寝転ぶ.jpg"">","nằm thườn ra, nằm bẹp ra",兄は芝生に寝ころんで何時間も怠けて過ごしたものだった。,Anh trai tôi đã nằm nghỉ trên cỏ và lười biếng trong nhiều giờ.,My brother used to idle away many hours lying on the grass.,[sound:兄は芝生に寝ころんで何時間も怠けて過ごしたものだった.ogg],TẨM CHUYỂN
発揮,はっき,[sound:発揮.ogg],"<img src=""発揮.jpg"">",phát huy,この作家が本領を発揮しているのは短編小説だ。,Nhà văn này thể hiện tài năng của mình trong viết truyện ngắn.,This writer is at his best in his short stories.,[sound:この作家が本領を発揮しているのは短編小説だ.ogg],PHÁT HUY
生地,きじ,[sound:生地.ogg],"<img src=""生地.jpg"">","vải, chất liệu vải",生地を預ければドレスを仕立ててくれますか。,"Nếu tôi gửi vải cho bạn, bạn có thể may váy cho tôi không?",Will you make me up a dress if I give you the material?,[sound:生地を預ければドレスを仕立ててくれますか.ogg],SINH 
手織り,ており,[sound:手織り.ogg],"<img src=""手織り.jpg"">","may tay, may bằng tay",,,,,THỦ 
モール,モール,[sound:モール.ogg],"<img src=""モール.jpg"">","dải buộc, thanh viền",このモールの中にスーパーマーケットはありますか。,Trong trung tâm thương mại này có siêu thị không?,Is there a supermarket in this mall?,[sound:このモールの中にスーパーマーケットはありますか.ogg],
カウンター,カウンター,[sound:カウンター.ogg],"<img src=""カウンター.jpg"">","quầy hàng, kiểu bàn ngồi cao",あそこのカウンターでウイスキー飲んでいるヤツ、けっこう私のタイプだわ。,"Người đang uống whisky ở quầy đó, anh ta khá hợp với tôi.",See that guy over there at the counter drinking whisky? He's pretty much my type.,[sound:あそこのカウンターでウイスキー飲んでいるヤツ、けっこう私のタイプだわ.ogg],
ギフト券,ギフトけん,[sound:ギフト券.ogg],"<img src=""ギフト券.jpg"">","thẻ tặng quà, phiếu tặng quà",,,,,KHOÁN
累計,るいけい,[sound:累計.ogg],"<img src=""累計.jpg"">","lũy kế, hệ số",回収対象のソニー製充電池は累計で７６５万９０００個となった。,Tổng số pin Sony cần thu gom là 7.659.000 chiếc.,"The amount of Sony rechargeable batteries supposed to be collected totalled 7,659,000 units.",[sound:回収対象のソニー製充電池は累計で７６５万９０００個となった.ogg],KẾ
交換,こうかん,[sound:交換.ogg],"<img src=""交換.jpg"">","trao đổi, đổi",あなたと席を交換しよう。,Hãy đổi chỗ với anh.,Let me exchange seats with you.,[sound:あなたと席を交換しよう.ogg],GIAO HOÁN
鮮やか,あざやか,[sound:鮮やか.ogg],"<img src=""鮮やか.jpg"">","rực rỡ, nhiều màu sắc",月は鮮やかに輝いていた。,Mặt trăng sáng rực rỡ.,The moon was shining brightly.,[sound:月は鮮やかに輝いていた.ogg],TIÊN
予め,あらかじめ,[sound:予め.ogg],"<img src=""予め.jpg"">","trước, (làm) trước, (chuẩn bị) trước",私たちはあらかじめスナックを用意しておいた。,Chúng tôi đã chuẩn bị snack trước.,We prepared snacks beforehand.,[sound:私たちはあらかじめスナックを用意しておいた.ogg],DỰ
暗示,あんじ,[sound:暗示.ogg],"<img src=""暗示.jpg"">",ám chỉ,彼の言葉は何を暗示しているのか。,Lời của anh ta ám chỉ điều gì?,What do his words imply?,[sound:彼の言葉は何を暗示しているのか.ogg],ÁM THỊ
粋,いき,[sound:粋.ogg],"<img src=""粋.jpg"">","thanh nhã, lịch sự, khéo léo",今日の格好はとっても粋ですね。,Diện mạo hôm nay rất lịch thiệp phải không?,You're looking snappy today.,[sound:今日の格好はとっても粋ですね.ogg],TÚY
一概に,いちがいに,[sound:一概に.ogg],,"1 cách phóng khoáng, cứ…",そうですね。一概には言えませんね。,Đúng vậy. Không thể nói chung rằng điều đó đúng hay không.,"Yes, well, that depends.",[sound:そうですね一概には言えませんね.ogg],NHẤT KHÁI
一括,いっかつ,[sound:一括.ogg],,"gom lại một lần, trả gọn một lần (tiền)",それらの議題は一括して取り上げられた。,Những vấn đề đó đã được đề cập tổng quát.,Those agenda items were taken up en bloc for discussion.,[sound:それらの議題は一括して取り上げられた.ogg],NHẤT QUÁT
一連,いちれん,[sound:一連.ogg],"<img src=""一連.jpg"">","một loạt, một chuỗi",彼らは一連の音楽会を開催した。,Họ đã tổ chức một loạt buổi hòa nhạc.,They gave a series of concerts.,[sound:彼らは一連の音楽会を開催した.ogg],NHẤT LIÊN
虚ろ,うつろ,[sound:虚ろ.ogg],"<img src=""虚ろ.jpg"">","rỗng, trống",洞窟からうつろに反響する音を耳にした。,Tôi nghe thấy âm thanh vang lên từ hang động.,We heard somber hollow sounds from the cave.,[sound:洞窟からうつろに反響する音を耳にした.ogg],HƯ
潤う,うるおう,[sound:潤う.ogg],"<img src=""潤う.jpg"">","trơn, nhờn, ẩm ướt",,,,,NHUẬN
うんざり,うんざり,[sound:うんざり.ogg],"<img src=""うんざり.jpg"">",chán ngấy,あの子にはうんざりする。,Tôi chán ngấy con bé đó.,The kid is a pain in the neck.,[sound:あの子にはうんざりする.ogg],
大まか,おおまか,[sound:大まか.ogg],"<img src=""大まか.jpg"">","đại khái, khoảng",警察官はその少女に、いなくなった犬の大まかな絵を描くように求めた。,Cảnh sát yêu cầu cô gái vẽ một bức tranh tóm lược về con chó đã mất tích.,The police asked the girl to make a rough sketch of her lost dog.,[sound:警察官はその少女に、いなくなった犬の大まかな絵を描くように求めた.ogg],ĐẠI
自ずから,おのずから,[sound:自ずから.ogg],,tự bản thân,油断なく注意さえしておれば好機はおのずからうまれる。,"Nếu ta cẩn thận và chú ý mà không chủ quan, cơ hội tốt sẽ tự nảy sinh.","Plenty of opportunities will present themselves, if only you are awake to them.",[sound:油断なく注意さえしておれば好機はおのずからうまれる.ogg],
害する,がいする,[sound:害する.ogg],"<img src=""害する.jpg"">","gây hại, gây tổn hại",その気候で健康を害した。,Tôi đã bị ảnh hưởng đến sức khỏe bởi khí hậu đó.,The climate affected his health.,[sound:その気候で健康を害した.ogg],HẠI
妨害,ぼうがい,[sound:妨害.ogg],"<img src=""妨害.jpg"">","cản trở, gây trở ngại",彼は私たちの会話を妨害した。,Anh ta đã làm gián đoạn cuộc trò chuyện của chúng tôi.,He broke in on our conversation.,[sound:彼は私たちの会話を妨害した.ogg],PHƯƠNG HẠI
顔つき,かおつき,[sound:顔つき.ogg],,nét mặt,彼は怒った顔つきで外へでてきた。,Anh ta bước ra ngoài với vẻ mặt tức giận.,He came out with an angry face.,[sound:彼は怒った顔つきで外へでてきた.ogg],NHAN
介入,かいにゅう,[sound:介入.ogg],"<img src=""介入.jpg"">","xen vào, can thiệp",このテーマに関するほとんどの研究では、立法府の介入が悪影響をもたらしたということが示されている。,Hầu hết các nghiên cứu về chủ đề này đã chỉ ra sự can thiệp của cơ quan lập pháp đã gây ra tác động tiêu cực.,It has been shown in most studies on this subject that intervention of the legislature had adverse effects.,[sound:このテーマに関するほとんどの研究では、立法府の介入が悪影響をもたらしたということが示されている.ogg],GIỚI NHẬP
格差,かくさ,[sound:格差.ogg],"<img src=""格差.jpg"">",sự phân biệt giàu nghèo,裕福な人々と貧しい人々との格差はますます広がっている。,Khoảng cách giữa những người giàu và người nghèo đang ngày càng gia tăng.,The gap between rich and poor is getting wider.,[sound:裕福な人々と貧しい人々との格差はますます広がっている.ogg],CÁCH 
微か,かすか,[sound:微か.ogg],"<img src=""微か.jpg"">","nhỏ nhặt, bé nhỏ",すぐそばでかすかな音がした。,Tôi nghe thấy tiếng rì rầm nhẹ ngay bên cạnh.,I heard a faint sound nearby.,[sound:すぐそばでかすかな音がした.ogg],VI
庇う,かばう,[sound:庇う.ogg],,"bênh vực, bao che",世間の非難から僕をかばってくれませんか。,Bạn có thể bảo vệ tôi khỏi sự chỉ trích của thế giới không?,Will you screen me from public censure?,[sound:世間の非難から僕をかばってくれませんか.ogg],TÝ
還元,かんげん,[sound:還元.ogg],"<img src=""還元.jpg"">","thu hồi, quay trở về",ゲイツ会長、広告収入をユーザーに還元する意向表明。,Chủ tịch Gates tuyên bố ý định hoàn trả thu nhập quảng cáo cho người dùng.,Bill Gates announces intent to return advertising revenue to the users.,[sound:ゲイツ会長、広告収入をユーザーに還元する意向表明.ogg],HOÀN NGUYÊN
換算,かんさん,[sound:換算.ogg],"<img src=""換算.jpg"">",chuyển đổi (tiền tệ),あなたは何でも金に換算して考えない方がよい。,Bạn nên không nghĩ mọi thứ chỉ dựa trên tiền bạc.,You had better not think of everything in terms of money.,[sound:あなたは何でも金に換算して考えない方がよい.ogg],HOÁN TOÁN
頑丈,がんじょう,[sound:頑丈.ogg],"<img src=""頑丈.jpg"">","chắc chắn, bền vững",これは掛けるのにたいそう頑丈ないすだ。,Cái này là một cái ghế rất chắc chắn để treo.,This is a very sturdy chair to sit in.,[sound:これは掛けるのにたいそう頑丈ないすだ.ogg],NGOAN TRƯỢNG
兆し,きざし,[sound:兆し.ogg],"<img src=""兆し.jpg"">","dấu hiệu, điềm báo",その建物は老朽のきざしをみせている。,Tòa nhà đó đang cho thấy dấu hiệu lão hóa.,The building exhibits signs of dilapidation.,[sound:その建物は老朽のきざしをみせている.ogg],TRIỆU
生真面目,きまじめ,[sound:生真面目.ogg],,"đứng đắn, nghiêm túc, nghiêm chỉnh",彼女はきまじめな気質である。,Cô ấy có tính cách nghiêm túc.,She is a serious person.,[sound:彼女はきまじめな気質である.ogg],SINH CHÂN DIỆN MỤC
華奢,きゃしゃ,[sound:華奢.ogg],"<img src=""華奢.jpg"">","hoa hòe, lòe loẹt, sặc sỡ",踊り子達は白いドレスを着てきゃしゃに見えますが、実際には彼女たちは馬のように力強いのです。,"Những vũ công trông rất duyên dáng trong chiếc váy trắng, nhưng thực tế, họ rất mạnh mẽ như ngựa.","The dancers look delicate in their white dresses, but they are really as strong as horses.",[sound:踊り子達は白いドレスを着てきゃしゃに見えますが、実際には彼女たちは馬のように力強いのです.ogg],HOA XA
馬鹿馬鹿しい,ばかばかしい,[sound:馬鹿馬鹿しい.ogg],,"thật nực cười, thật ngu xuẩn",ばかばかしいとしか言いようがない。,Chẳng còn cách nào khác ngoài việc nói rằng điều đó ngớ ngẩn.,It is neither more nor less than absurd.,[sound:ばかばかしいとしか言いようがない.ogg],   
好ましい,このましい,[sound:好ましい.ogg],"<img src=""好ましい.jpg"">","rất được ưa thích, thích thú",この映画は、子供に好ましくない影響を与えるかもしれない。,Bộ phim này có thể gây ảnh hưởng không tốt đối với trẻ em.,This movie may have an undesirable influence on children.,[sound:この映画は、子供に好ましくない影響を与えるかもしれない.ogg],HẢO
剥げる,はげる,[sound:剥げる.ogg],"<img src=""剥げる.jpg"">",tróc ra,壁からペンキが剥げ始めていた。,Sơn trên tường đã bắt đầu bong tróc.,The paint was coming off the wall.,[sound:壁からペンキが剥げ始めていた.ogg],BÁC
はらはら,ハラハラ,[sound:はらはら.ogg],"<img src=""はらはら.jpg"">",căng thẳng vì lo sợ / (lá) rơi đầy,私ははらはらしながら結果を待っていました。,Tôi đang lo lắng và háo hức đợi kết quả.,I have been waiting for the results with anxiety.,[sound:私ははらはらしながら結果を待っていました.ogg],
ひいては,ひいては,[sound:ひいては.ogg],,chỉ vì,,,,,
日取り,ひどり,[sound:日取り.ogg],"<img src=""日取り.jpg"">","chọn ngày, quyết định ngày",彼らは結婚式の日取りを繰り上げた。,Họ đã thay đổi ngày tổ chức đám cưới sớm hơn.,They advanced the wedding date.,[sound:彼らは結婚式の日取りを繰り上げた.ogg],NHẬT THỦ
日向,ひなた,[sound:日向.ogg],"<img src=""日向.jpg"">","hướng nắng tốt, nơi có nắng chiếu tốt",その子供は、ひなたで横になって眠っていた。,Đứa trẻ đó đang nằm nghỉ ngơi dọc theo ánh nắng mặt trời.,He was lying asleep in the sun.,[sound:その子供は、ひなたで横になって眠っていた.ogg],NHẬT HƯỚNG
コンクール,コンクール,[sound:コンクール.ogg],"<img src=""コンクール.jpg"">",cuộc thi,ピアノ・コンクールで私が第１位になるなんて夢想だにしなかった。,Tôi chưa từng mơ rằng mình sẽ đạt vị trí số 1 trong cuộc thi piano.,Never did I dream that I would take first place in the piano contest.,[sound:ピアノ・コンクールで私が第１位になるなんて夢想だにしなかった.ogg],
イラスト,イラスト,[sound:イラスト.ogg],"<img src=""イラスト.jpg"">",tranh vẽ,有難くも、10000hit越えのお祝いイラストを頂いてしまいました！本当にかたじけないです。,Tôi rất biết ơn khi nhận được bức hình chúc mừng vượt quá 10.000 lượt xem! Thật sự không thể đủ biết ơn.,"I'm very lucky to have been gifted with this 10,000 hit picture! Thank you so very much.",[sound:有難くも、10000hit越えのお祝いイラストを頂いてしまいました！本当にかたじけないです.ogg],
和傘,わがさ,[sound:和傘.ogg],"<img src=""和傘.jpg"">",dù kiểu Nhật,,,,,HÒA 
コントラスト,コントラスト,[sound:コントラスト.ogg],"<img src=""コントラスト.jpg"">",tương phản,その洋服は赤と白のコントラストが美しい。,Bộ quần áo đó có sự tương phản đẹp giữa màu đỏ và trắng.,The dress has a beautiful contrast between red and white.,[sound:その洋服は赤と白のコントラストが美しい.ogg],
審査員,しんさいん,[sound:審査員.ogg],"<img src=""審査員.jpg"">",giám khảo,その学生は、自分の弁論に対して審査員が批判的に述べたことをひどく気にした。,Học sinh đó rất bận tâm vì những phê phán mà giám khảo đưa ra về bài diễn thuyết của mình.,The student took to heart the judge's critical comments on his speech.,[sound:その学生は、自分の弁論に対して審査員が批判的に述べたことをひどく気にした.ogg],THẨM TRA VIÊN
表彰式,ひょうしょうしき,[sound:表彰式.ogg],"<img src=""表彰式.jpg"">",lễ phát bằng khen,表彰式？表彰台？のポディウムの綴りを教えてください。,"Xin hãy cho tôi biết cách viết chính xác của từ ""bục trao giải"" trong tiếng Nhật.",Awards ceremony podium? Victory stand podium? Please tell me the correct spelling.,[sound:表彰式？表彰台？のポディウムの綴りを教えてください.ogg], CHƯƠNG THỨC
イメージキャラクター,イメージキャラクター,[sound:イメージキャラクター.ogg],"<img src=""イメージキャラクター.jpg"">","nhân vật mẫu, tượng trưng",,,,,
頑固,がんこ,[sound:頑固.ogg],"<img src=""頑固.jpg"">",cứng đầu,彼は性質が頑固だ。,Anh ấy có tính cách cứng đầu.,He is obstinate in disposition.,[sound:彼は性質が頑固だ.ogg],NGOAN CỐ
願書,がんしょ,[sound:願書.ogg],,đơn xin,あなたの願書に最近の写真を貼りなさい。,Hãy dán ảnh gần đây vào đơn xin của bạn.,Attach a recent photograph to your application form.,[sound:あなたの願書に最近の写真を貼りなさい.ogg],NGUYỆN THƯ
トリミング,トリミング,[sound:トリミング.ogg],"<img src=""トリミング.jpg"">",,,,,,
スケッチ,スケッチ,[sound:スケッチ.ogg],"<img src=""スケッチ.jpg"">",vẽ phong cảnh,次郎は富士山をスケッチした。,Jiro đã vẽ phác thảo núi Phú Sĩ.,Jiro made a sketch of Mt. Fuji.,[sound:次郎は富士山をスケッチした.ogg],
ナンセンス,ナンセンス,[sound:ナンセンス.ogg],"<img src=""ナンセンス.jpg"">",không có ý nghĩa,それは、いくぶんナンセンスな趣きの楽しさがあった。,Điều đó mang lại một chút niềm vui hài hước.,It was a delightful bit of nonsense.,[sound:それは、いくぶんナンセンスな趣きの楽しさがあった.ogg],
ファイル,ファイル,[sound:ファイル.ogg],"<img src=""ファイル.jpg"">",,このファイルは削除して下さい。,Hãy xóa tệp này đi.,Please delete this file.,[sound:このファイルは削除して下さい.ogg],
定義,ていぎ,[sound:定義.ogg],"<img src=""定義.jpg"">",định nghĩa,定義するのが難しい語もある。,Có những từ khó định nghĩa.,Some words are hard to define.,[sound:定義するのが難しい語もある.ogg], NGHĨA
金銭,きんせん,[sound:金銭.ogg],"<img src=""金銭.jpg"">",tiền bạc,金銭のことで彼と争いになった。,Tôi đã tranh cãi với anh ấy về tiền bạc.,I had a quarrel with him over money.,[sound:金銭のことで彼と争いになった.ogg], 
天才,てんさい,[sound:天才.ogg],"<img src=""天才.jpg"">",tài năng,私たちは彼を天才だと思った。,Chúng tôi đã nghĩ rằng anh ấy là một thiên tài.,We thought of him as a genius.,[sound:私たちは彼を天才だと思った.ogg],THIÊN TÀI
英雄,えいゆう,[sound:英雄.ogg],"<img src=""英雄.jpg"">",anh hùng,英雄も従者にはただの人。,Ngay cả anh hùng cũng chỉ là người thường với người phục vụ.,No man is a hero to his valet.,[sound:英雄も従者にはただの人.ogg],ANH HÙNG
胸中,きょうちゅう,[sound:胸中.ogg],,trong lòng,私の胸中は悲喜こもごもだ。,Tâm trạng trong lòng tôi đan xen giữa niềm vui và nỗi buồn.,Joy and grief alternate in my breast.,[sound:私の胸中は悲喜こもごもだ.ogg],HUNG TRUNG
浮世絵,うきよえ,[sound:浮世絵.ogg],,tranh Ukiyo (tranh Phù Thế),,,,, THẾ HỘI
推察,すいさつ,[sound:推察.ogg],,suy đoán,彼の表情から本当に怒っているのだと推察した。,Tôi suy đoán anh ấy đang tức giận dựa trên biểu cảm của anh ấy.,I gathered from his expression that he was very angry.,[sound:彼の表情から本当に怒っているのだと推察した.ogg],"SUY,THÔI SÁT"
あからさま,あからさま,[sound:あからさま.ogg],,"không giấu diếm, rõ ràng",あからさまに言えば彼は嫌いだ。,"Nói thẳng ra, tôi ghét anh ấy.","Frankly, I don't like him.",[sound:あからさまに言えば彼は嫌いだ.ogg],
投げやり,なげやり,[sound:投げやり.ogg],,"làm ẩu tả, không đàng hoàng",彼はこの頃研究を投げやりにしている。,"Gần đây, anh ấy đã hờ hững trong nghiên cứu.",He is neglecting his research these days.,[sound:彼はこの頃研究を投げやりにしている.ogg],ĐẦU
ちらっと,ちらっと,[sound:ちらっと.ogg],"<img src=""ちらっと.jpg"">","liếc (nhìn), (nhìn) thoáng qua",私は彼女の顔をちらっと見かけた。,Tôi đã thoáng nhìn thấy gương mặt của cô ấy.,I caught a glimpse of her face.,[sound:私は彼女の顔をちらっと見かけた.ogg],
静まり返る,しずまりかえる,[sound:静まり返る.ogg],,im bặt,村は日没後静まり返っていた。,Ngôi làng yên lặng sau khi mặt trời lặn.,The village was dead after sunset.,[sound:村は日没後静まり返っていた.ogg],TĨNH PHẢN
気配,けはい,[sound:気配.ogg],"<img src=""気配.jpg"">",bóng dáng,秋の気配が感じられた。,Có cảm giác của mùa thu.,There was a hint of fall in the air.,[sound:秋の気配が感じられた.ogg],KHÍ PHỐI
ものづくり,,[sound:ものづくり.ogg],"<img src=""ものづくり.jpg"">",thủ công,「ソフトウェア開発」は「モノ作り」ではない。,"""Phát triển phần mềm"" không phải là ""chế tạo sản phẩm"".","""Software development"" isn't ""manufacture"".",[sound:「ソフトウェア開発」は「モノ作り」ではない.ogg],
コンパクト,コンパクト,[sound:コンパクト.ogg],"<img src=""コンパクト.jpg"">",nhỏ gọn,コンパクト型にはおしゃれなデザインが多いですね。,Có nhiều thiết kế thời trang cho loại hình nhỏ gọn.,"There are many smart designs among the compact models, aren't there?",[sound:コンパクト型にはおしゃれなデザインが多いですね.ogg],
モーター,モーター,[sound:モーター.ogg],"<img src=""モーター.jpg"">",động cơ,そのボートは動力にモーターを使用している。,Chiếc thuyền đó sử dụng động cơ làm nguồn điện.,The boat uses a motor for the power.,[sound:そのボートは動力にモーターを使用している.ogg],
パジャマ,パジャマ,[sound:パジャマ.ogg],"<img src=""パジャマ.jpg"">",áo ngủ,このパジャマはよく汗を吸収します。,Bộ đồ ngủ này thấm hút mồ hôi tốt.,These pajamas absorb sweat well.,[sound:このパジャマはよく汗を吸収します.ogg],
着心地,きごこち,[sound:着心地.ogg],"<img src=""着心地.jpg"">",cảm giác khi mặc,着心地はいかがですか。,Cảm giác khi mặc như thế nào?,How does it fit you?,[sound:着心地はいかがですか.ogg],TRƯỚC TÂM 
絹,きぬ,[sound:絹.ogg],"<img src=""絹.jpg"">",,この美しいドレスは絹で出来ている。,Chiếc váy đẹp này được làm từ lụa.,This beautiful dress is made of silk.,[sound:この美しいドレスは絹で出来ている.ogg],QUYÊN
廃材,はいざい,[sound:廃材.ogg],"<img src=""廃材.jpg"">",phế liệu,,,,,PHẾ TÀI
サイレン,サイレン,[sound:サイレン.ogg],"<img src=""サイレン.jpg"">", Siren (tên ma nữ trong thần thoại Hy lạp),葉子と私はサイレンが近くで止まるのを聞いて、何が起きたのかとすぐに飛び出していこうとした。,"Tôi và Yoko nghe thấy còi hú ngừng kêu gần đó, chúng tôi lập tức chạy ra xem điều gì đã xảy ra.","When Yoko and I heard the sirens stop nearby, we quickly decided to go check it out.",[sound:葉子と私はサイレンが近くで止まるのを聞いて、何が起きたのかとすぐに飛び出していこうとした.ogg],
矢先,やさき,[sound:矢先.ogg],,đầu mũi tên,叔父は新しい冒険的事業を始める矢先だ、と言っている。,Chú họ đang nói rằng ông ấy đang chuẩn bị bắt đầu một dự án mạo hiểm mới.,My uncle says he's about to embark on a new business venture.,[sound:叔父は新しい冒険的事業を始める矢先だ、と言っている.ogg],THỈ TIÊN
羨望,せんぼう,[sound:羨望.ogg],"<img src=""羨望.jpg"">",ganh tỵ,彼は友人たちの羨望の的であった。,Anh ấy là tâm điểm ghen tị của bạn bè.,He was the envy of his friends.,[sound:彼は友人たちの羨望の的であった.ogg], VỌNG
こみあげる,こみあげる,[sound:こみあげる.ogg],,dâng trào,,,,,
直立,ちょくりつ,[sound:直立.ogg],"<img src=""直立.jpg"">",đứng thẳng,,,,,TRỰC LẬP
電信柱,でんしんばしら,[sound:電信柱.ogg],"<img src=""電信柱.jpg"">",cột điện tín hiệu,,,,,ĐIỆN TÍN TRỤ
数え立てる,かぞえたてる,[sound:数え立てる.ogg],,đếm từng cái một,,,,, LẬP
単調,たんちょう,[sound:単調.ogg],"<img src=""単調.jpg"">","đều đều, đơn điệu",この話はちょっと単調だ。,Câu chuyện này hơi đơn điệu.,This story is rather monotonous.,[sound:この話はちょっと単調だ.ogg],ĐƠN ĐIỀU
赤らむ,あからむ,[sound:赤らむ.ogg],,đỏ lên,青白い彼の顔が興奮で赤らんだ。,Khuôn mặt xanh xao của anh ấy đỏ ửng do hưng phấn.,His pale face showed a flush of excitement.,[sound:青白い彼の顔が興奮で赤らんだ.ogg],XÍCH
隔離,かくり,[sound:隔離.ogg],"<img src=""隔離.jpg"">",cách ly,その伝染病患者は他の患者から隔離された。,Bệnh nhân mắc bệnh lây nhiễm đó đã được cách ly khỏi các bệnh nhân khác.,The infectious case was isolated from other patients.,[sound:その伝染病患者は他の患者から隔離された.ogg],CÁCH 
閑散,かんさん,[sound:閑散.ogg],"<img src=""閑散.jpg"">",yên tĩnh,その通りは１０時を過ぎると閑散としていた。,Đường đó đã trở nên vắng vẻ sau khi vượt qua 10 giờ.,The street was deserted after ten.,[sound:その通りは１０時を過ぎると閑散としていた.ogg], TÁN
当てはまる,あてはまる,[sound:当てはまる.ogg],,thích hợp,この規則は１年生には当てはまらない。,Quy tắc này không áp dụng cho sinh viên năm thứ nhất.,This rule doesn't apply to first-year students.,[sound:この規則は１年生には当てはまらない.ogg],ĐƯƠNG
懸念,けねん,[sound:懸念.ogg],"<img src=""懸念.jpg"">",chuyên tâm,世界の航空産業は墜落事故についての懸念を募らせている。,Ngành công nghiệp hàng không trên thế giới đang ngày càng lo ngại về các vụ tai nạn rơi máy bay.,The world's aviation industry is growing increasingly worried about crashes.,[sound:世界の航空産業は墜落事故についての懸念を募らせている.ogg],HUYỀN NIỆM
紙面,しめん,[sound:紙面.ogg],"<img src=""紙面.jpg"">",mặt giấy,その事件の説明は、紙面が足りないため割愛された。,Mô tả vụ việc đó đã được bỏ qua do không đủ không gian trên giấy.,The explanation of the event was omitted for lack of space.,[sound:その事件の説明は、紙面が足りないため割愛された.ogg],CHỈ DIỆN
